side,entry_price,exit_price,size,entry_time,exit_time,pnl,status,stop_loss,take_profit
buy,111757.56,110982.89,0.04473970262056545,2025-09-09T14:00:00,2025-09-09T16:00:00,-34.65850542907336,filled,109522.40879999999,116227.8624
sell,110982.89,111299.6,0.044895846082990486,2025-09-09T16:00:00,2025-09-09T21:00:00,-14.218963412944204,filled,113202.5478,106543.5744
buy,111299.6,115827.79,0.04470421515961415,2025-09-09T21:00:00,2025-09-12T00:00:00,202.42918004361263,filled,109073.60800000001,115751.58400000002
sell,116209.32,115688.0,0.04368647760438489,2025-09-13T00:00:00,2025-09-13T05:00:00,22.774634504718236,filled,118533.50640000001,111560.94720000001
buy,115688.0,115348.1,0.04398177142705515,2025-09-13T05:00:00,2025-09-14T13:00:00,-14.94940410805579,filled,113374.23999999999,120315.52
sell,115348.1,116053.49,0.04404657268562836,2025-09-14T13:00:00,2025-09-14T21:00:00,-31.07001190671536,filled,117655.062,110734.176
buy,116053.49,115606.61,0.04364499046815198,2025-09-14T21:00:00,2025-09-17T14:00:00,-19.50407334040796,filled,113732.42020000001,120695.62960000001
sell,115606.61,115980.0,0.04372934582352659,2025-09-17T14:00:00,2025-09-17T17:00:00,-16.32810043704657,filled,117918.74220000001,110982.3456
buy,115980.0,117443.99,0.043518170184144195,2025-09-17T17:00:00,2025-09-18T13:00:00,63.71016596788549,filled,113660.4,120619.2
sell,117443.99,116977.58,0.04324693380172953,2025-09-18T13:00:00,2025-09-19T03:00:00,20.170802394464822,filled,119792.8698,112746.2304
buy,116977.58,115884.03,0.04350558339587994,2025-09-19T03:00:00,2025-09-19T15:00:00,-47.575530722564636,filled,114638.0284,121656.6832
sell,115884.03,115542.72,0.04371085555772383,2025-09-19T15:00:00,2025-09-19T17:00:00,14.91895211040662,filled,118201.7106,111248.6688
buy,115542.72,115342.56,0.043904536545722135,2025-09-19T17:00:00,2025-09-19T20:00:00,-8.787932034991895,filled,113231.8656,120164.42880000001
sell,115342.56,115467.97,0.043942631469378206,2025-09-19T20:00:00,2025-09-19T21:00:00,-5.5108454125748745,filled,117649.4112,110728.85759999999
buy,115467.97,115444.99,0.04387104219558338,2025-09-19T21:00:00,2025-09-20T03:00:00,-1.0081565496543274,filled,113158.6106,120086.6888
sell,115444.99,115522.32,0.04387540858926428,2025-09-20T03:00:00,2025-09-21T10:00:00,-3.3928853462078834,filled,117753.8898,110827.1904
buy,115522.32,114619.99,0.043831353656682316,2025-09-21T10:00:00,2025-09-22T03:00:00,-39.55034534503423,filled,113211.8736,120143.21280000001
sell,114619.99,114425.02,0.044003881787879305,2025-09-22T03:00:00,2025-09-22T04:00:00,8.57943683218288,filled,116912.3898,110035.1904
buy,114425.02,112876.96,0.044116349806222435,2025-09-22T04:00:00,2025-09-22T11:00:00,-68.2947564810206,filled,112136.5196,119002.02080000001
sell,112876.96,112745.79,0.044418868391419196,2025-09-22T11:00:00,2025-09-22T12:00:00,5.826422966903024,filled,115134.4992,108361.88160000001
buy,112745.79,113148.04,0.044496384673405026,2025-09-22T12:00:00,2025-09-22T13:00:00,17.89867073487717,filled,110490.87419999999,117255.6216
sell,113148.04,112815.49,0.04441729063547526,2025-09-22T13:00:00,2025-09-22T15:00:00,14.77097000082678,filled,115411.0008,108622.11839999999
buy,112815.49,112593.94,0.04461368613933063,2025-09-22T15:00:00,2025-09-22T16:00:00,-9.884162164168831,filled,110559.1802,117328.10960000001
sell,112593.94,112395.71,0.04465757909735381,2025-09-22T16:00:00,2025-09-22T17:00:00,8.852471904468263,filled,114845.81880000001,108090.1824
buy,112395.71,112433.59,0.044775721576783875,2025-09-22T17:00:00,2025-09-22T18:00:00,1.69610433332813,filled,110147.7958,116891.5384
sell,112433.59,112112.99,0.044768178882766324,2025-09-22T18:00:00,2025-09-22T19:00:00,14.352678149814492,filled,114682.2618,107936.24639999999
buy,112112.99,111811.87,0.044960208523798305,2025-09-22T19:00:00,2025-09-23T02:00:00,-13.53841799068659,filled,109870.7302,116597.5096
sell,111811.87,112665.44,0.04502074958259058,2025-09-23T02:00:00,2025-09-23T05:00:00,-38.42836122121216,filled,114048.1074,107339.39519999998
buy,112665.44,111789.28,0.044509123818453684,2025-09-23T05:00:00,2025-09-23T18:00:00,-38.997113924776535,filled,110412.1312,117172.0576
sell,111789.28,112111.62,0.04468354624037454,2025-09-23T18:00:00,2025-09-24T02:00:00,-14.403294295122173,filled,114025.0656,107317.7088
buy,112111.62,111683.1,0.04449083703286614,2025-09-24T02:00:00,2025-09-24T03:00:00,-19.06521348532333,filled,109869.38759999999,116596.0848
sell,111683.1,113418.74,0.04457619109935123,2025-09-24T03:00:00,2025-09-24T19:00:00,-77.36822031967795,filled,113916.762,107215.776
buy,113418.74,111749.91,0.04355297103466424,2025-09-24T19:00:00,2025-09-25T05:00:00,-72.6825046517788,filled,111150.3652,117955.48960000002
sell,111749.91,111151.28,0.0438781726596668,2025-09-25T05:00:00,2025-09-25T12:00:00,26.26679049925654,filled,113984.9082,107279.9136
buy,111151.28,110957.29,0.044232646182138916,2025-09-25T12:00:00,2025-09-25T16:00:00,-8.58069103287336,filled,108928.25439999999,115597.3312
sell,110957.29,109312.93,0.044271312821495705,2025-09-25T16:00:00,2025-09-25T19:00:00,72.7979759511547,filled,113176.43579999999,106518.9984
buy,109312.93,109436.0,0.04527025195821751,2025-09-25T19:00:00,2025-09-25T21:00:00,5.571409908498145,filled,107126.67139999999,113685.4472
sell,109436.0,109334.5,0.045244796852454784,2025-09-25T21:00:00,2025-09-26T04:00:00,4.59234688052416,filled,111624.72,105058.56
buy,109334.5,109259.45,0.045307800939186675,2025-09-26T04:00:00,2025-09-26T05:00:00,-3.400350460486092,filled,107147.81,113707.88
sell,109259.45,108878.17,0.04532336183785716,2025-09-26T05:00:00,2025-09-26T10:00:00,17.280891401538124,filled,111444.639,104889.072
